player_id,name,player_club,age,position,market_value,nationality,player_height,player_agent,strong_foot,contract_value_time
121483,Jan Oblak,Atlético Madrid,32.0,Goalkeeper,25000.0,Slovenia,1.88,,right,2028.0
242359,Juan Musso,Atlético Madrid,31.0,Goalkeeper,4000.0,Argentina,1.91,,right,2025.0
625657,Unai Marrero,Real Sociedad,23.0,Goalkeeper,600.0,Spain,1.89,,right,2027.0
262396,Unai Simón,Athletic,27.0,Goalkeeper,28000.0,Spain,1.9,CAA Stellar,right,2029.0
625014,Julen Agirrezabala,Athletic,24.0,Goalkeeper,15000.0,Spain,1.87,YOU FIRST,left,2027.0
341713,Diego Conde,Villarreal,26.0,Goalkeeper,10000.0,Spain,1.88,,right,2029.0
712107,Luiz Júnior,Villarreal,24.0,Goalkeeper,5000.0,Brazil,1.92,,left,2030.0
547248,Iker Álvarez,Villarreal CF B,23.0,Goalkeeper,800.0,Andorra,1.9,AS1,right,2026.0
502676,Giorgi Mamardashvili,Valencia,24.0,Goalkeeper,30000.0,Georgia,1.97,Free Football,left,2025.0
165467,Stole Dimitrievski,Valencia,31.0,Goalkeeper,3000.0,North Macedonia,1.88,AS1,right,2026.0
227805,Jaume Doménech,Valencia,34.0,Goalkeeper,600.0,Spain,1.85,Wasserman,right,2025.0
195488,Paulo Gazzaniga,Girona,33.0,Goalkeeper,3500.0,Argentina,1.95,,right,2027.0
1169436,Vladyslav Krapyvtsov,Girona,19.0,Goalkeeper,200.0,Ukraine,1.88,ProStar,right,2029.0
120705,Juan Carlos,Girona,37.0,Goalkeeper,100.0,Spain,1.87,,"
                            Jul 1, 2019                        ",2025.0
453704,Álvaro Fernández,Sevilla FC,27.0,Goalkeeper,2500.0,Spain,1.85,Dupla Piqué & ...,right,2026.0
73517,Ørjan Nyland,Sevilla FC,34.0,Goalkeeper,1000.0,Norway,1.92,Solbakken / Player ...,right,2026.0
551182,Fran Vieites,Real Betis,26.0,Goalkeeper,800.0,Spain,1.96,,left,2026.0
71271,Adrián,Real Betis,38.0,Goalkeeper,500.0,Spain,1.9,,right,2026.0
357770,Dinko Horkas,UD Las Palmas,26.0,Goalkeeper,1200.0,Croatia,1.89,Top Sport Medium,right,2028.0
146227,Jasper Cillessen,UD Las Palmas,36.0,Goalkeeper,900.0,Netherlands,1.87,SEG,right,2026.0
248738,Sergio Herrera,CA Osasuna,31.0,Goalkeeper,4000.0,Spain,1.92,YOU FIRST,right,2026.0
118997,Aitor Fernández,CA Osasuna,34.0,Goalkeeper,1500.0,Spain,1.82,,right,2027.0
297194,Iván Villar,Celta de Vigo,27.0,Goalkeeper,900.0,Spain,1.86,AS1,right,2027.0
64399,Vicente Guaita,Celta de Vigo,38.0,Goalkeeper,800.0,Spain,1.9,,right,2025.0
561613,Joan García,Espanyol,24.0,Goalkeeper,20000.0,Spain,1.91,Niagara Sports ...,right,2028.0
172015,Fernando Pacheco,Espanyol,33.0,Goalkeeper,900.0,Spain,1.87,Dupla Piqué & ...,left,2026.0
628487,Ángel Fortuño,Espanyol,23.0,Goalkeeper,300.0,Spain,1.83,,right,2027.0
316884,Dominik Greif,RCD Mallorca,28.0,Goalkeeper,6000.0,Slovakia,1.97,Stars & Friends,right,2026.0
562742,Leo Román,RCD Mallorca,24.0,Goalkeeper,2500.0,Spain,1.89,,right,2026.0
27493,Iván Cuéllar,RCD Mallorca,40.0,Goalkeeper,100.0,Spain,1.87,,left,2025.0
226012,David Soria,Getafe,32.0,Goalkeeper,4000.0,Spain,1.92,AS1,right,2026.0
339079,Jiri Letacek,Getafe,26.0,Goalkeeper,2000.0,Czech Republic,1.96,SPORT INVEST,right,2028.0
298197,Antonio Sivera,Alavés,28.0,Goalkeeper,6000.0,Spain,1.85,Wasserman,right,2027.0
631693,Jesús Owono,Alavés,24.0,Goalkeeper,1000.0,Equatorial Guinea,1.86,Wasserman,both,2026.0
608382,Adrián Rodríguez,Alavés,24.0,Goalkeeper,100.0,Argentina,1.95,InterStarDeporte,right,2027.0
