player_id,name,player_club,age,position,goalkeeper_or_not,market_value,nationality,player_height,player_agent,strong_foot,contract_value_time,appearances,PPG,goals,assists,own_goals,substitutions_on,substitutions_off,yellow_cards,second_yellow_cards,red_cards,penalty_goals,minutes_per_goal,minutes_played,goals_conceded,clean_sheet,crawl_timestamp,source
243714,Kingsley Coman,Bayern Munich,28.0,Left Winger,0,35000.0,France,1.81,None,right,2027.0,41.0,2.32,7.0,4.0,0,21.0,19.0,2.0,0,0,0,262.0,1.837,0.0,0.0,1748224693826,https://www.transfermarkt.com/kingsley-coman/profil/spieler/243714
655835,Christian Saydee,Portsmouth,23.0,Centre-Forward,0,400.0,England,1.84,Unique Sports Group,right,2026.0,31.0,0.77,3.0,0,0,19.0,10.0,6.0,0,0,0,438.0,1.314,0.0,0.0,1748224695913,https://www.transfermarkt.com/christian-saydee/profil/spieler/655835
402007,Ousmane Diakité,West Brom,24.0,Defensive Midfield,0,700.0,Mali,1.89,MANagement,"Jul 1, 2024",2026.0,24.0,1.42,0.0,0,0,14.0,5.0,1.0,0,0,0,0.0,981.0,0.0,0.0,1748224756917,https://www.transfermarkt.com/ousmane-diakite/profil/spieler/402007
536482,Junior Dina Ebimbe,E. Frankfurt,24.0,Right Midfield,0,7000.0,France,1.84,ROGON,right,2027.0,12.0,2.0,2.0,2.0,0,6.0,6.0,1.0,0,0,0,251.0,502.0,0.0,0.0,1748224781404,https://www.transfermarkt.com/junior-dina-ebimbe/profil/spieler/536482
536342,Francesco Amatucci,Cittadella,23.0,Central Midfield,0,900.0,Italy,1.82,None,right,-,38.0,0.95,1.0,0,0,6.0,9.0,9.0,0,0,0,2.902,2.902,0.0,0.0,1748224793600,https://www.transfermarkt.com/francesco-amatucci/profil/spieler/536342
307781,Lynden Gooch,Stoke City,29.0,Right Winger,0,1200.0,United States,1.73,Unique Sports Group,right,2025.0,23.0,1.43,0.0,2.0,0,11.0,6.0,3.0,0,0,0,0.0,1.149,0.0,0.0,1748224795450,https://www.transfermarkt.com/lynden-gooch/profil/spieler/307781
358166,Eldor Shomurodov,AS Roma,29.0,Centre-Forward,0,4000.0,Uzbekistan,1.9,None,right,2026.0,37.0,1.95,7.0,5.0,0,22.0,14.0,3.0,0,0,0,209.0,1.465,0.0,0.0,1748224807016,https://www.transfermarkt.com/eldor-shomurodov/profil/spieler/358166
580195,Jamal Musiala,Bayern Munich,22.0,Attacking Midfield,0,140000.0,Germany,1.84,WINS,right,2030.0,40.0,2.3,18.0,8.0,0,7.0,20.0,4.0,0,0,0,160.0,2.871,0.0,0.0,1748224808675,https://www.transfermarkt.com/jamal-musiala/profil/spieler/580195
316575,Moritz-Broni Kwarteng,F. Düsseldorf,27.0,Central Midfield,0,1200.0,Germany,1.75,None,both,2025.0,15.0,0.87,0.0,4.0,0,8.0,6.0,1.0,0,0,0,0.0,659.0,0.0,0.0,1748224810631,https://www.transfermarkt.com/moritz-broni-kwarteng/profil/spieler/316575
430310,Andrew Irving,West Ham,25.0,Central Midfield,0,5000.0,Scotland,1.9,DC International ...,left,2026.0,11.0,1.0,0.0,0,0,10.0,1.0,2.0,0,0,0,0.0,174.0,0.0,0.0,1748224812464,https://www.transfermarkt.com/andrew-irving/profil/spieler/430310
